uid,sid,rating
1686,0,5
1686,1,1
1686,2,1
1686,3,1
1686,4,1
1686,5,1
1686,6,5
1686,7,4
1686,8,5
1686,9,5
1686,10,4
1686,11,1
1686,12,5
1686,13,5
1686,14,5
1686,15,1
1686,16,5
1686,17,1
1686,18,5
1686,19,1
1686,20,1
1686,21,4
1686,22,3
1686,23,2
1686,24,3
1686,25,5
1686,26,5
1686,27,1
1686,28,1
1686,29,5
1686,30,5
1686,31,5
1686,32,1
1686,33,1
1686,34,5
1686,35,1
3585,36,2
3585,37,2
3585,1,4
3585,38,3
3585,39,4
3585,40,2
3585,41,3
3585,6,4
3585,42,3
3585,43,3
3585,7,4
3585,44,3
3585,9,4
3585,45,2
3585,46,3
3585,12,4
3585,13,4
3585,14,3
3585,47,3
3585,48,3
3585,49,3
3585,50,4
3585,16,4
3585,51,3
3585,52,4
3585,53,3
3585,54,3
3585,18,4
3585,55,4
3585,56,3
3585,57,3
3585,58,3
3585,21,4
3585,25,3
3585,59,3
3585,29,4
3585,30,2
3585,60,3
3585,61,3
3585,62,3
3585,63,4
3585,64,3
3585,65,4
3585,31,4
3585,34,3
3585,66,2
3585,67,2
3544,68,1
3544,69,4
3544,70,1
3544,71,5
3544,72,4
3544,10,2
3544,73,2
3544,74,1
3544,75,1
3544,76,1
3544,77,1
3544,78,1
3544,79,5
3544,80,1
3544,81,5
3544,82,2
3544,83,2
3544,84,1
3544,85,2
3544,86,2
7957,87,4
7957,88,3
7957,89,5
7957,90,3
7957,91,5
7957,92,5
7957,14,4
7957,93,5
7957,94,4
7957,62,1
7957,95,5
7957,96,4
8153,97,3
8153,37,3
8153,98,2
8153,1,2
8153,99,4
8153,100,2
8153,101,4
8153,102,2
8153,39,3
8153,40,4
8153,41,5
8153,103,1
8153,104,3
8153,43,2
8153,7,4
8153,105,3
8153,9,3
8153,106,1
8153,107,4
8153,12,4
8153,13,4
8153,108,3
8153,14,1
8153,109,5
8153,73,1
8153,49,3
8153,110,4
8153,111,3
8153,112,5
8153,113,5
8153,114,1
8153,115,1
8153,16,4
8153,116,4
8153,117,4
8153,118,1
8153,119,4
8153,120,4
8153,121,5
8153,122,3
8153,123,3
8153,124,2
8153,55,2
8153,21,5
8153,125,1
8153,29,4
8153,60,1
8153,126,5
8153,127,1
8153,82,1
8153,65,3
8153,128,3
8153,129,3
8153,130,3
8153,131,2
8153,132,1
8153,133,3
