uid,sid,rating
0,34,1
0,193,5
0,319,5
0,491,5
0,493,1
0,583,5
0,691,3
0,707,2
0,764,5
0,774,1
0,785,5
0,790,5
0,951,1
0,963,5
0,978,1
1,169,5
1,254,5
1,307,5
1,606,5
1,764,4
1,774,4
1,884,5
1,995,5
2,8,2
2,126,2
2,152,4
2,169,4
2,193,4
2,245,3
2,319,3
2,341,3
2,404,4
2,491,4
2,506,3
2,562,3
2,568,3
2,683,4
2,811,3
2,813,4
2,858,4
2,884,4
2,995,2
3,341,1
3,544,3
3,635,1
3,978,1
4,39,1
4,63,4
4,237,2
4,382,2
4,500,1
4,618,1
4,666,5
4,736,5
5,61,5
5,234,3
5,242,5
5,364,5
5,945,4
6,0,1
6,3,1
6,6,1
6,28,1
6,46,1
6,55,1
6,64,1
6,85,4
6,87,1
6,116,1
6,117,1
6,118,1
6,120,5
6,165,1
6,169,3
6,195,1
6,200,1
6,201,1
6,235,1
6,254,1
6,284,1
6,288,1
6,291,5
6,303,4
6,304,1
6,311,1
6,320,1
6,360,1
6,378,1
6,380,1
6,387,1
6,399,1
6,424,1
6,454,1
6,462,4
6,476,1
6,477,1
6,482,1
6,491,5
6,497,4
6,521,1
6,538,1
6,541,1
6,564,1
6,582,1
6,585,1
6,615,1
6,621,1
6,636,1
6,639,1
6,647,1
6,668,1
6,683,1
6,698,1
6,701,1
6,715,1
6,738,1
6,750,1
6,756,1
6,776,1
6,780,1
6,792,1
6,799,1
6,809,1
6,811,1
6,820,1
6,822,1
6,825,1
6,836,1
6,864,1
6,867,1
6,874,1
6,883,1
6,902,1
6,916,1
6,946,1
6,951,4
6,969,1
6,972,1
6,997,1
7,110,2
7,120,3
7,126,4
7,163,3
7,167,2
7,169,4
7,190,3
7,243,4
7,303,4
7,394,3
7,409,3
7,486,1
7,491,4
7,515,1
7,536,4
7,553,5
7,592,3
7,743,1
7,825,1
7,836,1
7,858,3
7,885,3
7,929,1
7,963,4
7,966,1
7,968,3
8,195,2
8,394,2
8,572,1
8,743,1
8,892,1
8,978,1
9,92,1
9,667,4
9,728,4
9,836,1
10,0,1
10,11,3
10,291,3
10,303,3
10,305,2
10,314,1
10,319,3
10,394,3
10,515,3
10,654,3
11,20,3
11,118,5
11,152,4
11,268,4
11,319,3
11,409,4
11,491,4
11,492,3
11,500,1
11,686,1
11,752,2
11,848,4
11,894,4
11,959,2
12,34,5
12,49,5
12,234,3
12,303,5
12,593,5
12,683,5
13,11,3
13,195,3
13,409,3
13,625,4
13,688,3
13,788,5
14,205,4
14,327,4
14,332,4
14,506,2
14,572,3
14,837,5
14,968,4
14,993,4
15,104,5
15,154,5
15,168,5
15,186,5
15,327,5
15,358,5
15,796,5
16,86,1
16,95,1
16,133,2
16,636,1
16,649,1
16,964,1
17,234,2
17,281,4
17,303,2
17,394,4
17,593,4
17,720,5
17,783,1
17,811,2
17,836,2
17,995,3
18,52,3
18,158,3
18,177,2
18,181,5
18,652,3
18,703,4
18,753,4
18,912,4
18,931,3
19,52,1
19,109,1
19,271,5
19,307,3
19,311,1
19,400,1
19,468,1
19,487,1
19,585,1
19,709,4
19,743,5
19,766,4
19,794,4
19,811,1
19,887,3
19,948,3
19,968,4
19,995,1
20,28,3
20,114,2
20,146,2
20,251,2
20,363,2
20,395,4
20,491,4
20,506,2
20,645,2
20,764,2
20,817,4
21,28,1
21,75,2
21,259,1
21,566,1
21,620,1
21,667,1
21,908,1
21,919,2
21,947,1
21,995,1
22,52,5
22,149,5
22,172,4
22,303,4
22,308,5
22,982,3
23,7,2
23,126,3
23,169,2
23,337,2
23,606,4
23,943,2
23,946,1
24,55,4
24,104,4
24,222,3
24,234,5
24,408,1
24,503,5
24,645,5
24,794,4
25,11,5
25,165,1
25,325,2
25,347,5
25,476,4
25,519,3
25,584,3
25,645,1
25,649,4
25,676,4
25,683,3
25,743,5
25,746,5
25,836,1
25,926,5
25,929,4
26,20,2
26,169,3
26,338,5
26,381,4
26,454,2
26,491,3
26,641,3
26,685,3
26,764,5
26,795,5
26,826,5
26,827,1
26,884,5
26,963,5
26,968,4
26,989,2
27,5,5
27,10,5
27,14,5
27,34,5
27,40,4
27,51,5
27,64,5
27,73,5
27,101,5
27,110,5
27,119,5
27,121,5
27,124,5
27,132,5
27,139,5
27,157,5
27,163,5
27,164,5
27,176,5
27,180,5
27,183,5
27,196,5
27,211,5
27,219,5
27,236,5
27,239,5
27,255,5
27,263,5
27,267,5
27,270,2
27,291,5
27,293,5
27,298,5
27,323,5
27,350,5
27,378,5
27,385,5
27,386,5
27,389,5
27,393,5
27,394,5
27,396,5
27,398,5
27,404,5
27,405,5
27,417,5
27,431,5
27,433,5
27,437,5
27,441,5
27,470,5
27,483,5
27,491,4
27,528,5
27,536,5
27,539,5
27,541,5
27,547,5
27,564,5
27,571,5
27,574,5
27,603,4
27,623,5
27,630,5
27,632,5
27,636,5
27,646,5
27,655,5
27,656,5
27,660,5
27,668,5
27,673,5
27,674,5
27,677,5
27,679,5
27,680,1
27,683,5
27,685,5
27,686,5
27,697,5
27,702,5
27,725,5
27,731,5
27,732,5
27,733,5
27,739,5
27,741,5
27,742,5
27,754,5
27,759,5
27,773,5
27,785,5
27,799,5
27,804,2
27,811,5
27,834,5
27,835,5
27,842,5
27,848,5
27,855,5
27,860,5
27,867,5
27,870,5
27,872,5
27,876,5
27,886,5
27,889,5
27,897,5
27,898,5
27,901,5
27,903,5
27,913,5
27,927,5
27,935,5
27,944,5
27,959,5
27,961,5
27,967,5
27,970,5
27,976,5
27,985,5
28,40,4
28,85,1
28,233,4
28,234,4
28,291,5
29,0,5
29,34,5
29,43,5
29,126,5
29,170,5
29,292,5
29,311,5
29,378,4
29,382,5
29,394,5
29,404,5
29,497,1
29,606,4
29,729,2
29,743,5
29,799,5
29,823,4
29,887,5
30,210,1
30,615,1
30,951,1
30,990,1
31,170,2
31,210,1
31,340,4
31,393,3
31,572,3
31,782,4
31,847,3
31,950,5
32,215,1
32,234,4
32,581,1
32,645,1
32,811,3
32,838,3
33,49,4
33,126,3
33,152,2
33,206,3
33,234,3
33,679,3
33,710,3
33,784,3
33,817,3
33,995,4
34,29,3
34,43,3
34,319,3
34,341,4
34,358,3
34,575,3
34,647,3
34,691,3
34,751,3
34,796,4
34,864,1
34,879,3
34,903,3
35,29,2
35,49,2
35,61,1
35,243,3
35,412,4
35,430,4
35,433,2
35,638,4
35,683,3
35,707,2
35,747,3
35,770,5
35,887,3
35,963,4
36,126,2
36,151,2
36,318,1
36,523,1
36,566,5
36,645,4
36,995,2
37,55,1
37,120,5
37,303,1
37,319,5
37,400,1
38,17,3
38,33,1
38,34,3
38,642,1
38,776,1
38,811,2
39,77,3
39,234,4
39,786,1
39,811,1
39,980,2
40,11,1
40,234,3
40,291,3
40,319,2
40,667,3
40,884,2
40,968,1
40,995,4
41,0,1
41,49,5
41,126,1
41,247,1
41,272,1
41,292,1
41,374,1
41,382,1
41,390,1
41,503,1
41,645,5
41,649,1
41,728,5
41,766,2
41,794,4
41,836,1
41,873,1
41,921,1
42,0,4
42,811,4
42,813,1
42,836,3
42,884,5
43,540,2
43,554,3
43,706,1
43,743,3
44,34,1
44,49,1
44,162,1
44,191,1
44,292,1
44,336,1
44,476,4
44,556,1
44,596,1
44,669,1
44,692,1
44,701,1
44,752,1
44,857,1
44,871,1
44,887,1
45,168,5
45,291,1
45,409,5
45,575,5
45,613,4
45,642,5
45,888,5
45,936,5
46,168,2
46,222,2
46,265,3
46,359,1
46,597,2
46,661,2
46,995,3
47,86,1
47,191,1
47,275,2
47,287,2
47,399,2
47,454,2
47,783,2
48,55,5
48,61,5
48,109,4
48,118,1
48,126,5
48,264,1
48,319,5
48,327,5
48,382,5
48,408,1
48,436,5
48,591,5
48,597,1
48,642,1
48,660,1
48,807,5
48,868,1
48,876,1
48,987,1
48,995,5
49,85,3
49,119,3
49,141,4
49,157,2
49,193,5
49,632,5
49,674,5
49,785,5
49,909,4
49,959,5
50,98,1
50,169,1
50,208,1
50,382,1
50,436,2
50,444,1
50,491,3
50,606,3
50,839,1
50,958,1
50,975,1
50,978,1
51,126,5
51,200,1
51,271,1
51,320,3
51,603,1
51,645,1
51,648,1
51,884,1
51,929,1
51,970,3
52,152,4
52,234,5
52,395,3
52,695,2
52,752,2
52,764,2
52,811,1
52,998,5
53,13,4
53,169,5
53,394,4
53,652,4
54,0,3
54,53,4
54,55,5
54,120,4
54,251,5
54,389,5
54,414,4
54,537,4
54,614,3
54,870,5
54,901,5
55,28,1
55,55,2
55,170,1
55,180,1
55,181,1
55,349,1
55,374,1
55,405,1
55,566,2
55,608,1
55,667,1
55,883,1
55,984,1
55,995,1
56,291,2
56,315,2
56,556,2
56,606,1
56,811,1
56,951,4
57,623,1
57,811,1
57,982,2
57,995,4
58,72,1
58,140,2
58,221,5
58,350,1
58,392,1
58,503,1
58,640,1
58,736,1
58,861,1
59,0,1
59,57,1
59,72,1
59,95,1
59,369,1
59,460,1
59,491,1
59,503,1
59,548,1
59,606,1
59,645,1
59,743,1
59,943,1
60,85,4
60,120,4
60,184,2
60,307,3
60,483,1
60,512,4
60,596,3
61,52,1
61,98,3
61,172,1
61,210,1
61,243,2
61,254,3
61,293,2
61,634,2
61,722,1
61,873,1
62,305,3
62,575,3
62,720,1
62,855,4
62,888,5
63,126,5
63,199,5
63,234,4
63,395,4
63,743,5
64,11,4
64,45,1
64,119,1
64,152,4
64,394,4
64,395,4
64,528,1
64,606,1
64,620,1
64,674,1
64,790,4
65,46,4
65,120,5
65,152,5
65,183,4
65,194,5
65,242,5
65,363,4
65,437,4
65,445,5
65,455,4
65,559,5
65,690,5
65,697,4
65,733,5
65,828,4
65,955,4
65,963,4
66,5,4
66,78,1
66,114,4
66,118,3
66,119,1
66,182,4
66,234,3
66,291,1
66,566,1
66,595,4
66,633,1
66,667,5
66,817,3
67,28,4
67,148,2
67,234,3
67,572,4
67,645,1
67,743,1
67,811,3
68,34,4
68,39,5
68,63,5
68,126,5
68,234,5
68,382,4
68,444,5
68,522,4
68,583,5
68,756,5
68,823,5
68,861,4
68,886,4
68,992,4
69,26,1
69,114,1
69,500,1
69,643,1
70,11,5
70,55,2
70,120,2
70,147,1
70,157,5
70,169,4
70,303,4
70,319,5
70,613,1
70,794,4
70,811,3
70,934,2
71,34,4
71,49,3
71,234,3
71,394,3
71,966,2
72,49,5
72,55,5
72,93,5
72,122,3
72,153,4
72,224,4
72,268,3
72,291,5
72,299,2
72,382,5
72,395,4
72,400,2
72,465,5
72,478,5
72,491,5
72,635,5
72,683,3
72,705,4
72,707,2
72,804,5
72,876,5
72,995,3
73,11,2
73,31,1
73,49,1
73,230,3
73,234,5
73,346,5
73,372,3
73,635,4
73,743,2
73,933,1
74,34,3
74,257,5
74,379,3
74,593,4
74,674,3
74,714,3
75,42,3
75,126,4
75,335,4
75,609,1
75,803,1
76,29,3
76,34,5
76,218,4
76,382,3
76,569,1
76,572,1
76,743,2
76,995,3
77,48,3
77,114,4
77,126,1
77,289,3
77,569,3
77,645,4
78,80,1
78,114,4
78,126,1
78,206,1
78,234,5
78,243,1
78,472,2
78,618,1
78,626,1
78,645,1
78,680,1
78,738,1
78,763,1
78,864,1
78,945,1
79,93,3
79,303,3
79,446,1
79,539,1
79,683,2
79,743,1
80,169,2
80,404,5
80,437,1
80,943,1
81,34,5
81,104,1
81,114,5
81,118,5
81,120,5
81,234,4
81,251,4
81,291,1
81,366,3
81,392,1
81,423,5
81,437,4
81,462,1
81,593,4
81,766,5
81,811,2
81,817,5
81,934,5
81,936,3
81,968,5
82,95,2
82,382,2
82,500,3
82,666,2
82,690,2
82,756,1
82,836,5
83,510,3
83,566,3
83,590,3
83,857,3
83,897,4
84,55,4
84,169,3
84,544,2
84,566,1
84,596,4
84,926,1
85,8,3
85,34,3
85,35,2
85,49,2
85,168,2
85,191,3
85,239,3
85,270,3
85,286,2
85,503,3
85,674,1
85,716,2
85,766,3
85,771,2
85,797,2
85,811,3
85,872,2
85,944,2
86,85,5
86,120,5
86,462,2
86,794,5
87,394,5
87,490,2
87,557,1
87,728,5
87,756,1
87,788,1
87,804,1
88,11,1
88,234,2
88,305,1
88,319,3
88,341,2
88,347,2
88,352,5
88,374,2
88,382,2
88,494,1
88,503,1
88,559,1
88,581,3
88,642,1
88,666,2
88,903,1
88,995,2
